Topic,Sub-Topic,Flashcard,Answer,Question,Difficulty level,Option A,Option B,Option C,Option D,Key,Explanation
Number Systems,Number Systems,Do you know the divisibility rules in Number Systems?,"Divisible by 2 → If the number ends with 0, 2, 4, 6, or 8 (i.e., even).
Divisible by 3 → If the sum of its digits is divisible by 3.
Divisible by 5 → If the number ends with 0 or 5.
Divisible by 9 → If the sum of digits is divisible by 9.
Divisible by 11 → If the difference between sum of digits at odd and even positions is divisible by 11.","When 10082 is divided by 3, what is the remainder?",Easy,0,1,2,3,Option C,"To find the remainder when 10082 is divided by 3, you can use the divisibility rule for 3, which states that the remainder of a number divided by 3 is the same as the remainder of the sum of its digits divided by 3.  
  
Sum the digits of 10082:1+0+0+8+2=11  
Divide the sum (11) by 3:$\dfrac{11}{3}$ = remainder 2  
  
The remainder when 10082 is divided by 3 is 2."
,,,,Which of the following numbers is divisible by 7?,Medium,1112,1342,1435,1263,Option C,"Divisibility rule of 7:

Take the last digit of the number. Double it.
Subtract this doubled value from the remaining part of the number (the number without its last digit).
If the result is 0 or divisible by 7, then the original number is divisible by 7.
If it’s still large, repeat the process.

Let's apply this rule to the given numbers,  
Option-A: 1112  
Last digit: 2  
Remaining part: 111  
2 × 2 = 4  
111 - 4 = 107  
107 is not divisible by 7, so 1112 is not divisible by 7.  
  
Option-B: 1342  
Last digit: 2  
Remaining part: 134  
2 × 2 = 4  
134 - 4 = 130  
130 is not divisible by 7, so 1342 is not divisible by 7.  
  
Option-C: 1435  
Last digit: 5  
Remaining part: 143  
2 × 5 = 10  
143 - 10 = 133  
133 is divisible by 7, so 1435 is divisible by 7.  
  
Option-D: 1263  
Last digit: 3  
Remaining part: 126  
2 × 3 = 6  
126 - 6 = 120  
120 is not divisible by 7, so 1263 is not divisible by 7.  
Therefore, out of the given numbers, 1435 is the one that is divisible by 7."
,,,,"Find M and N if the number M39048458N is divisible by 11 and 8, where M and N are single digit numbers?",Hard,"1, 4","2, 3","3, 4","6, 4",Option D,"As per the divisibility rule of 8, the last 3 numbers should be divisible by 8  
58N should be divisible by 8, the least possible value of N will be 4.
Now the number is M390484584. 
For number M390484584 divisible by 11, The difference between the sum of odd place digits and even place digits should be divisible by 11 or the difference is 0.  
Odd place digits sum= M+9+4+4+8=M+25  
Even place digits sum= 3+0+8+5+4= 20  
M + 25 - 20= M+5=11,
M = 6.  
There is only one possibility which is M=6 and N=4."
,,Do you know the value of an imaginary number?,"The value of i in mathematics is the imaginary unit:

i = $\sqrt{-1}$

From this definition, we get the cyclic pattern:
$i^1 = i$
$i^2 = -1$
$i^3 = -i$
$i^4 = 1$",What is the value of $(i)^{64}$?,Easy,1,-1,0,None,Option A,"The value of $i^{64}$ can be calculated by repeatedly multiplying i by itself:
$i^1$ = i
$i^2$ = -1
$i^3$ = -i 
$i^4$ = 1

After every four powers of i, the pattern repeats. So,

$i^{64} = i^{4 \times 16}$ = $(i^4)^{16} = 1^{16}$ = 1

Therefore, $i^{64} = 1$."
,,,,What is the value of ${i}^{48}$ + 1 ?,Medium,0,2,1,-1,Option B,"To find ${i}^{48}$  
Where i is the imaginary unit:  
We know that,  
  
$i^0 =1, i^1 = \sqrt{(-1)}$, ${i}^{2}$ = -1, ${i}^{3}$ = -i, ${i}^{4}$ = 1  
  
And the cycle repeats for every 4 powers:  
So, the powers of i form a mod 4 cycle.  
Now, divide the exponent by 4:  
  
48 ÷ 4 = 12 remainder 0  
  
So, ${i}^{48}$ = ${i}^{0}$ = 1  
${i}^{48}$ + 1  
= 1 + 1 = 2  
  
Hence, ${i}^{48}$ + 1 = 2"
,,,,"If $(-1)^{n} +(-1)^{4n}$ = 0, then n is ?",Hard,Any positive integer,Any odd natural number,Any negative integer,Any even natural number,Option B,"To find the value of ""n"" when $(-1)^{n} +(-1)^{4n}$ = 0, you can break it down and simplify it,  
$(-1)^{n}$ represents a sequence of alternating signs: 1, -1, 1, -1, ...  
$(-1)^{4n}$ represents a sequence where the exponent is always even, so its result is 1.
 
Now, you have the equation:  
$(-1)^{n}$ + 1 = 0  
$(-1)^{n}$ = -1
  
Now, if you think about the alternating sign pattern of $(-1)^{n}$, you'll notice that it becomes -1 when ""n"" is an odd positive integer, and it becomes 1 when ""n"" is an even positive integer.
  
So, for $(-1)^{n}$ to equal -1, ""n"" must be an odd positive integer.  
In summary, ""n"" is any odd natural number."
,,Do you remember how a number can be expressed in rational form?,"The Rational Form means expressing a number as a ratio of two integers:

Rational number = $\dfrac{p}{q}$ ; $q \neq 0$",What is the rational form of 4.88888888...?,Easy,$\frac{44}{9}$,$\frac{48}{9}$,$\frac{47}{9}$,$\frac{46}{9}$,Option A,"Let x = 4.888888....  
10x = 48.888888...  
Now, subtract the original equation from the new equation to eliminate the repeating part:  
10x - x = 48.8888888... - 4.88888888...  
9x = 44    
x = $\dfrac{44}{9}$  
  
So, the rational form of the recurring decimal 4.88888.... is $\dfrac{44}{9}$"
,,,,What is the rational form of 2.454545… ?,Medium,22/9,242/99,243/99,244/99,Option C,"Let x = 2.454545…
Here the repeating block is “45”, which has 2 digits.
Multiply by 100: 100x = 245.454545…
Subtract: (100x – x) = (245.454545… – 2.454545…)
This gives 99x = 243.
So x = 243/99.
Therefore, the rational form of 2.4545… is 243/99."
,,,,What is the  simplest Rational form of 8.88888888....?,Hard,$\frac{79}{9}$,$\frac{77}{9}$,$\frac{80}{9}$,9,Option C,"Let x = 8.88888888....

Then 10x = 88.8888888....

Subtract x from 10x,
10x - x = (88.8888888....) - (8.88888888....)
9x = 80

x = $\dfrac{80}{9}$

Hence, simplest Rational form of 8.88888888.... is $\dfrac{80}{9}$"
,Power Cycle,Do you remember what cyclicity means in power cycles?,"Cyclicity in power cycle means the repetition pattern of the unit digits when a number is raised to successive powers.

Example: 
Clicity of 2 is 4 (pattern: 2, 4, 8, 6).
cyclicity of 3 is 4 (pattern: 3, 9, 7, 1).
Cyclicity of 7 is 4 (pattern: 7, 9, 3, 1)",Find the unit digit of $3^{11}$.,Easy,4,6,8,7,Option D,"Cyclicity of 3 = 4 → 11÷4 = 2 remainder 3
unit digit = 7"
